name,artist,popularity,id,release_date,track_number,explicit,duration_ms,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Talking to the Moon,Bruno Mars,84,161DnLWsx1i3u1JT05lzqU,2010-05-11,7,False,217866,93,0.498,0.59,1.0,-4.721,0.0,0.032,0.511,0.0,0.107,0.0784,145.867
Need to Know,Doja Cat,76,3Vi5XqYrmQgOYBajMWSvCi,2021-06-25,5,True,210560,86,0.664,0.609,1.0,-6.509,1.0,0.0707,0.304,0.0,0.0926,0.194,130.041
Happier Than Ever,Billie Eilish,82,4RVwu0g32PAqgUiJoXsdF8,2021-07-30,15,True,298899,95,0.332,0.225,0.0,-8.697,1.0,0.0348,0.767,0.00349,0.128,0.297,81.055
Here Comes The Sun - Remastered 2009,The Beatles,84,6dGnYIeXmHdcikdzNNDMm2,1969-09-26,7,False,185733,86,0.557,0.54,9.0,-10.484,1.0,0.0347,0.0339,0.00248,0.179,0.394,129.177
My Universe,"Coldplay, BTS",77,46HNZY1i7O6jwTA7Slo2PI,2021-10-15,10,False,226198,91,0.573,0.711,1.0,-6.268,0.0,0.0406,0.0114,0.0,0.328,0.47,105.006
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",84,5rb9QrpfcKFHM1EUbSIurX,2004-03-23,2,False,250373,83,0.894,0.791,2.0,-4.699,1.0,0.112,0.0183,0.0,0.0388,0.583,105.018
Ho Hey,The Lumineers,0,5BSndweF91KDqyxANsZcQH,2012-04-03,5,False,163133,79,0.685,0.466,0.0,-9.074,1.0,0.0304,0.794,2.06e-06,0.0915,0.353,79.936
Safe And Sound,Capital Cities,71,6Z8R6UsFuGXGtiIxiD8ISb,2013,1,False,192789,67,0.655,0.819,0.0,-4.852,1.0,0.0316,0.000176,0.00374,0.104,0.766,117.956
Don't,Bryson Tiller,84,3pXF1nA74528Edde4of9CC,2015-10-02,5,True,198293,83,0.765,0.356,11.0,-5.556,0.0,0.195,0.223,0.0,0.0963,0.189,96.991
Paradise,Coldplay,82,6nek1Nin9q48AVZcWs9e9D,2011-10-24,3,False,278719,91,0.449,0.585,5.0,-6.761,1.0,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631
Dandelions,Ruth B.,85,2eAvDnpXP5W0cVtiI0PUxV,2017-05-05,2,False,233720,73,0.609,0.692,1.0,-2.958,1.0,0.0259,0.0157,0.0,0.0864,0.454,116.959
Somewhere Only We Know,Keane,72,0ll8uFnc0nANY35E0Lfxvg,2004-01-01,1,False,236160,74,0.453,0.655,9.0,-4.22,1.0,0.0257,0.0794,7.06e-06,0.0849,0.366,172.01
Money Trees,"Kendrick Lamar, Jay Rock",78,2HbKqm4o0w5wEeEFXm2sD4,2012,5,True,386906,92,0.716,0.531,7.0,-7.355,1.0,0.122,0.0703,0.0,0.224,0.344,71.994
Centuries,Fall Out Boy,79,04aAxqtGp5pv12UXAg4pkq,2015-01-16,3,False,228360,80,0.393,0.858,4.0,-2.868,0.0,0.0729,0.00359,0.0,0.102,0.56,176.042
Firestone,"Kygo, Conrad Sewell",0,2sNvitW3TxiTeC9xT9f2ZZ,2015-06-24,1,False,273684,82,0.486,0.652,11.0,-7.226,0.0,0.052,0.408,6.63e-05,0.077,0.391,113.055
